Bigg Reaction ID,Reaction Name,Unnamed: 2,Metabolite,BiGG Metabolite ID,Metabolite Name
EX_tyrargser_e,Exchange of TyrArgSer,,tyrargser_e,tyrargser_e,Tyrosyl-Arginyl-Serine
EX_tyrasparg_e,Exchange of TyrAspArg,,tyrasparg_e,tyrasparg_e,Tyrosyl-Aspartyl-Arginine
EX_tyrcysgly_e,Exchange of TyrCysGly,,tyrcysgly_e,tyrcysgly_e,Tyrosyl-Cysteinyl-Glycine
EX_tyrcysthr_e,Exchange of TyrCysThr,,tyrcysthr_e,tyrcysthr_e,Tyrosyl-Cysteinyl-Threonine
EX_tyrglu_e,Exchange of TyrGlu,,tyrglu_e,tyrglu_e,Tyrosyl-Glutamate
EX_tyrleuarg_e,Exchange of TyrLeuArg,,tyrleuarg_e,tyrleuarg_e,Tyrosyl-Leucyl-Arginine
EX_tyrphetyr_e,Exchange of TyrPhetyr,,tyrphetyr_e,tyrphetyr_e,Tyrosyl-Phenylalanyl-Tyrosine
EX_tyrthr_e,Exchange of TyrThr,,tyrthr_e,tyrthr_e,Tyrosyl-Threonine
EX_tyrtrpphe_e,Exchange of TyrTrpPhe,,tyrtrpphe_e,tyrtrpphe_e,Tyrosyl-Tryptophanyl-Phenylalanine
EX_tyrtyr_e,Exchange of Tyrtyr,,tyrtyr_e,tyrtyr_e,Tyrosyl-Tyrosine
EX_tyrvalmet_e,Exchange of TyrValMet,,tyrvalmet_e,tyrvalmet_e,Tyrosyl-Valyl-Methionine
EX_valarggly_e,Exchange of ValArgGly,,valarggly_e,valarggly_e,Valyl-Arginyl-Glycine
EX_valhisasn_e,Exchange of ValHisAsn,,valhisasn_e,valhisasn_e,Valyl-Histidyl-Asparagine
EX_valleuphe_e,Exchange of ValLeuPhe,,valleuphe_e,valleuphe_e,Valyl-Leucyl-Phenylalanine
EX_vallystyr_e,Exchange of ValLystyr,,vallystyr_e,vallystyr_e,Valyl-Lysyl-Tyrosine
EX_valphearg_e,Exchange of ValPheArg,,valphearg_e,valphearg_e,Valyl-Phenylalanyl-Arginine
EX_valprotrp_e,Exchange of ValProTrp,,valprotrp_e,valprotrp_e,Valyl-Prolyl-Tryptophan
EX_valserarg_e,Exchange of ValSerArg,,valserarg_e,valserarg_e,Valyl-Seryl-Arginine
EX_valtrpphe_e,Exchange of ValTrpPhe,,valtrpphe_e,valtrpphe_e,Valyl-Tryptophanyl-Phenylalanine
EX_valtrpval_e,Exchange of ValTrpVal,,valtrpval_e,valtrpval_e,Valyl-Tryptophanyl-Valine
EX_valval_e,Exchange of ValVal,,valval_e,valval_e,Valyl-Valine
EX_trpglyasp_e,Exchange of TrpGlyAsp,,trpglyasp_e,trpglyasp_e,Tryptophanyl-Glycyl-Aspartate
EX_homoval_e,Exchange of Homovanillate,,homoval_e,homoval_e,Homovanillate
EX_sphmyln_hs_e,Exchange of Sphingomyelin,,sphmyln_hs_e,sphmyln_hs_e,Sphingomyelin (homo sapiens)
EX_hxa_e,Hexanoate (n-C6:0) exchange,,hxa_e,hxa_e,Hexanoate (n-C6:0)
EX_Lhcystin_e,Exchange of Homocystine,,Lhcystin_e,Lhcystin_e,L-Homocystine
EX_core4_e,Exchange of Core 4 (Mucin O-Glycan) ,,core4_e,core4_e,Core4 g
EX_core5_e,Exchange of Core 5 (Mucin O-Glycan) ,,core5_e,core5_e,Core5 g
EX_core7_e,Exchange of Core 7 (Mucin O-Glycan) ,,core7_e,core7_e,Core7 g
EX_core8_e,Exchange of Core 8 (Mucin O-Glycan) ,,core8_e,core8_e,Core8 g
EX_dsT_antigen_e,Exchange of Disialyl-T Antigen ,,dsT_antigen_e,dsT_antigen_e,DsT antigen g
EX_f1a_e,Exchange of F1Alpha (Mucin O-Glycan) ,,f1a_e,f1a_e,F1alpha
EX_galam_e,D Galactosamine exchange,,galam_e,galam_e,D Galactosamine C6H13NO5
EX_gncore1_e,Exchange of gncore 1 (Mucin O-Glycan) ,,gncore1_e,gncore1_e,"GlcNAc-alpha-1,4-Core 1"
EX_gncore2_e,"Exchange of GlcNac-Alpha-1, 4-Core 2 ",,gncore2_e,gncore2_e,"GlcNAc-alpha-1,4-Core 2"
EX_mqn10_e,Exchange of Menaquinone 10 ,,mqn10_e,mqn10_e,Menaquinone-10
EX_mqn11_e,Exchange of Menaquinone 11 ,,mqn11_e,mqn11_e,Menaquinone-11
EX_mqn7_e,Exchange of Menaquinone 7 ,,mqn7_e,mqn7_e,Menaquinone 7 C46H64O2
EX_mqn9_e,Exchange of Menaquinone 9 ,,mqn9_e,mqn9_e,Menaquinone-9
EX_s2l2n2m2m_e,Exchange of De-Fuc Form of Pa6 (W/O Peptide Linkage) ,,s2l2n2m2m_e,s2l2n2m2m_e,De-Fuc form of PA6 (w/o peptide linkage)
EX_sTn_antigen_e,Exchange of Sialyl-Tn Antigen ,,sTn_antigen_e,sTn_antigen_e,STn antigen g
EX_lpam_e,Exchange of Lipoamide ,,lpam_e,lpam_e,Lipoamide C8H15NOS2
EX_acgal_e,N-Acetyl-D-galactosamine exchange,,acgal_e,acgal_e,N-Acetyl-D-galactosamine
EX_acnam_e,N-Acetylneuraminate exchange,,acnam_e,acnam_e,N-Acetylneuraminate
EX_pcreat_e,Exchange of Phosphocreatine,,pcreat_e,pcreat_e,Phosphocreatine
EX_HC00342_e,Exchange of Cis-Aconitate,,HC00342_e,HC00342_e,"Cis-aconitate(3-); (1Z)-prop-1-ene-1,2,3-tricarboxylat"
EX_pa_hs_e,Exchange of Phosphatidate,,pa_hs_e,pa_hs_e,Phosphatidic acid (homo sapiens)
EX_CE2934_e,Exchange of O-Methylhippurate,,CE2934_e,CE2934_e,O-methylhippurate
EX_dxtrn_e,Exchange of Phosphorylase-Limit Dextrin,,dxtrn_e,dxtrn_e,"Phosphorylase-limit dextrin (glycogenin-1,6{4[1,4-Glc], 4[1,4-Glc]})"
EX_dhcholestanate_e,"Exchange of 3Alpha, 7Alpha-Dihydroxy-5Beta-Cholestanate",,dhcholestanate_e,dhcholestanate_e,"3alpha,7alpha-Dihydroxy-5beta-cholestanate"
EX_thcholstoic_e,"Exchange of 3Alpha, 7Alpha, 12Alpha-Trihydroxy-5Beta-Cholestanoate",,thcholstoic_e,thcholstoic_e,"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate"
EX_xol7ah3_e,"Exchange of 5Beta-Cholestane-3Alpha, 7Alpha, 26-Triol",,xol7ah3_e,xol7ah3_e,"3alpha,7alpha,26-Trihydroxy-5beta-cholestane"
EX_xol7aone_e,Exchange of 7Alpha-Hydroxycholest-4-En-3-One,,xol7aone_e,xol7aone_e,7alpha-Hydroxycholest-4-en-3-one
EX_xoldiolone_e,"Exchange of 7Alpha, 12Alpha-Dihydroxycholest-4-En-3-One",,xoldiolone_e,xoldiolone_e,"7alpha,12alpha-Dihydroxycholest-4-en-3-one"
EX_7klitchol_e,Exchange of 7-Ketolithocholate,,7klitchol_e,7klitchol_e,7-Ketolithocholate
EX_2obut_e,2-Oxobutanoate exchange,,2obut_e,2obut_e,2-Oxobutanoate
EX_glcn_e,D-Gluconate exchange,,glcn_e,glcn_e,D-Gluconate
EX_acac_e,Acetoacetate exchange,,acac_e,acac_e,Acetoacetate
EX_adn_e,Adenosine exchange,,adn_e,adn_e,Adenosine
EX_akg_e,2-Oxoglutarate exchange,,akg_e,akg_e,2-Oxoglutarate
EX_asn__L_e,L-Asparagine exchange,,asn__L_e,asn__L_e,L-Asparagine
EX_asp__L_e,L-Aspartate exchange,,asp__L_e,asp__L_e,L-Aspartate
EX_but_e,Butyrate (n-C4:0) exchange,,but_e,but_e,Butyrate (n-C4:0)
EX_cgly_e,Cys-Gly exchange,,cgly_e,cgly_e,Cys Gly C5H10N2O3S
EX_co2_e,CO2 exchange,,co2_e,co2_e,CO2 CO2
EX_cytd_e,Cytidine exchange,,cytd_e,cytd_e,Cytidine
EX_dad_2_e,Deoxyadenosine exchange,,dad_2_e,dad_2_e,Deoxyadenosine
EX_dcyt_e,Deoxycytidine exchange,,dcyt_e,dcyt_e,Deoxycytidine
EX_dgsn_e,Deoxyguanosine exchange,,dgsn_e,dgsn_e,Deoxyguanosine
EX_din_e,Deoxyinosine exchange,,din_e,din_e,Deoxyinosine
EX_duri_e,Deoxyuridine exchange,,duri_e,duri_e,Deoxyuridine
EX_fe2_e,Fe2+ exchange,,fe2_e,fe2_e,Fe2+ mitochondria
EX_fe3_e,Fe3+ exchange,,fe3_e,fe3_e,Iron (Fe3+)
EX_fum_e,Fumarate exchange,,fum_e,fum_e,Fumarate
EX_gal_e,D-Galactose exchange,,gal_e,gal_e,D-Galactose
EX_glu__L_e,L-Glutamate exchange,,glu__L_e,glu__L_e,L-Glutamate
EX_glyb_e,Glycine betaine exchange,,glyb_e,glyb_e,Glycine betaine
EX_glyleu_e,Glycylleucine exchange,,glyleu_e,glyleu_e,Glycylleucine
EX_glyphe_e,Exchange reaction for glycylphenylalaine,,glyphe_e,glyphe_e,Glycylphenylalanine
EX_glypro_e,Glycylproline exchange,,glypro_e,glypro_e,Glycylproline
EX_h_e,H+ exchange,,h_e,h_e,H+
EX_h2o_e,H2O exchange,,h2o_e,h2o_e,H2O H2O
EX_ile__L_e,L-Isoleucine exchange,,ile__L_e,ile__L_e,L-Isoleucine
EX_ins_e,Inosine exchange,,ins_e,ins_e,Inosine
EX_k_e,K+ exchange,,k_e,k_e,Potassium
EX_lac__L_e,L-Lactate exchange,,lac__L_e,lac__L_e,L-Lactate
EX_leu__L_e,L-Leucine exchange,,leu__L_e,leu__L_e,L-Leucine
EX_lys__L_e,L-Lysine exchange,,lys__L_e,lys__L_e,L-Lysine
EX_mal__L_e,L-Malate exchange,,mal__L_e,mal__L_e,L-Malate
EX_met__L_e,L-Methionine exchange,,met__L_e,met__L_e,L-Methionine
EX_na1_e,Sodium exchange,,na1_e,na1_e,Sodium
EX_no2_e,Nitrite exchange,,no2_e,no2_e,Nitrite
EX_o2_e,O2 exchange,,o2_e,o2_e,O2 O2
EX_orn_e,Ornithine exchange,,orn_e,orn_e,Ornithine
EX_pi_e,Phosphate exchange,,pi_e,pi_e,Phosphate
EX_ppi_e,Diphosphate exchange,,ppi_e,ppi_e,Diphosphate
EX_pro__L_e,L-Proline exchange,,pro__L_e,pro__L_e,L-Proline
EX_ribflv_e,Riboflavin exchange,,ribflv_e,ribflv_e,Riboflavin C17H20N4O6
EX_ser__L_e,L-Serine exchange,,ser__L_e,ser__L_e,L-Serine
EX_so4_e,Sulfate exchange,,so4_e,so4_e,Sulfate
EX_succ_e,Succinate exchange,,succ_e,succ_e,Succinate
EX_thymd_e,Thymidine exchange,,thymd_e,thymd_e,Thymidine C10H14N2O5
EX_urea_e,Urea exchange,,urea_e,urea_e,Urea CH4N2O
EX_uri_e,Uridine exchange,,uri_e,uri_e,Uridine
EX_val__L_e,L-Valine exchange,,val__L_e,val__L_e,L-Valine
EX_pnto__R_e,(R)-Pantothenate exchange,,pnto__R_e,pnto__R_e,(R)-Pantothenate
EX_gly_e,Glycine exchange,,gly_e,gly_e,Glycine
EX_cys__L_e,L-Cysteine exchange,,cys__L_e,cys__L_e,L-Cysteine
EX_ala__L_e,L-Alanine exchange,,ala__L_e,ala__L_e,L-Alanine
EX_his__L_e,L-Histidine exchange,,his__L_e,his__L_e,L-Histidine
EX_thr__L_e,L-Threonine exchange,,thr__L_e,thr__L_e,L-Threonine
EX_gln__L_e,L-Glutamine exchange,,gln__L_e,gln__L_e,L-Glutamine
EX_phe__L_e,L-Phenylalanine exchange,,phe__L_e,phe__L_e,L-Phenylalanine
EX_tyr__L_e,L-Tyrosine exchange,,tyr__L_e,tyr__L_e,L-Tyrosine
EX_arg__L_e,L-Arginine exchange,,arg__L_e,arg__L_e,L-Arginine
EX_for_e,Formate exchange,,for_e,for_e,Formate
EX_nac_e,Nicotinate exchange,,nac_e,nac_e,Nicotinate
EX_ind3ac_e,EX ind3ac LPAREN e RPAREN ,,ind3ac_e,ind3ac_e,Indole 3 acetate C10H8NO2
EX_nh4_e,Ammonia exchange,,nh4_e,nh4_e,Ammonium
EX_ac_e,Acetate exchange,,ac_e,ac_e,Acetate
EX_acgam_e,N-Acetyl-D-glucosamine exchange,,acgam_e,acgam_e,N-Acetyl-D-glucosamine
EX_cit_e,Citrate exchange,,cit_e,cit_e,Citrate
EX_csn_e,Cytosine exchange,,csn_e,csn_e,Cytosine
EX_drib_e,Deoxy D Ribose exchange,,drib_e,drib_e,Deoxyribose C5H10O4
EX_etha_e,Ethanolamine exchange,,etha_e,etha_e,Ethanolamine
EX_fol_e,EX fol LPAREN e RPAREN ,,fol_e,fol_e,Folate
EX_fru_e,D-Fructose exchange,,fru_e,fru_e,D-Fructose
EX_galt_e,Galactitol exchange,,galt_e,galt_e,Galactitol
EX_glcr_e,D-Glucarate exchange,,glcr_e,glcr_e,D-Glucarate
EX_glcur_e,D-Glucuronate exchange,,glcur_e,glcur_e,D-Glucuronate
EX_glyc_e,Glycerol exchange,,glyc_e,glyc_e,Glycerol
EX_hxan_e,Hypoxanthine exchange,,hxan_e,hxan_e,Hypoxanthine
EX_malt_e,Maltose exchange,,malt_e,malt_e,Maltose C12H22O11
EX_malthx_e,Maltohexaose exchange,,malthx_e,malthx_e,Maltohexaose
EX_malttr_e,Maltotriose exchange,,malttr_e,malttr_e,Maltotriose C18H32O16
EX_man_e,D-Mannose exchange,,man_e,man_e,D-Mannose
EX_ptrc_e,Putrescine exchange,,ptrc_e,ptrc_e,Putrescine
EX_rib__D_e,D-Ribose exchange,,rib__D_e,rib__D_e,D-Ribose
EX_spmd_e,Spermidine exchange,,spmd_e,spmd_e,Spermidine
EX_thm_e,Thiamin exchange,,thm_e,thm_e,Thiamin
EX_trp__L_e,L-Tryptophan exchange,,trp__L_e,trp__L_e,L-Tryptophan
EX_ura_e,Uracil exchange,,ura_e,ura_e,Uracil
EX_xan_e,Xanthine exchange,,xan_e,xan_e,Xanthine
EX_xyl__D_e,D-Xylose exchange,,xyl__D_e,xyl__D_e,D-Xylose
EX_pydxn_e,Pyridoxine exchange,,pydxn_e,pydxn_e,Pyridoxine
EX_pydx_e,Pyridoxal exchange,,pydx_e,pydx_e,Pyridoxal
EX_pydam_e,Pyridoxamine exchange,,pydam_e,pydam_e,Pyridoxamine
EX_4hbz_e,EX 4hbz LPAREN e RPAREN ,,4hbz_e,4hbz_e,4-Hydroxybenzoate
EX_34dhpha_e,Exchange of 34Dhpha,,34dhpha_e,34dhpha_e,3-4-Dihydroxyphenylacetate
EX_ppa_e,Propionate exchange,,ppa_e,ppa_e,Propionate (n-C3:0)
EX_arab__L_e,L-Arabinose exchange,,arab__L_e,arab__L_e,L-Arabinose
EX_gam_e,D-Glucosamine exchange,,gam_e,gam_e,D-Glucosamine
EX_pyr_e,Pyruvate exchange,,pyr_e,pyr_e,Pyruvate
EX_tre_e,Trehalose exchange,,tre_e,tre_e,Trehalose
EX_btn_e,Biotin exchange,,btn_e,btn_e,Biotin
EX_lcts_e,Lactose exchange,,lcts_e,lcts_e,Lactose C12H22O11
EX_ade_e,Adenine exchange,,ade_e,ade_e,Adenine
EX_etoh_e,Ethanol exchange,,etoh_e,etoh_e,Ethanol
EX_acald_e,Acetaldehyde exchange,,acald_e,acald_e,Acetaldehyde
EX_sucr_e,Sucrose exchange,,sucr_e,sucr_e,Sucrose C12H22O11
EX_pheme_e,Protoheme exchange,,pheme_e,pheme_e,Protoheme C34H30FeN4O4
EX_mqn8_e,Exchange of Menaquinone 8 ,,mqn8_e,mqn8_e,Menaquinone 8
EX_gua_e,Guanine exchange,,gua_e,gua_e,Guanine
EX_4abut_e,4-Aminobutanoate exchange,,4abut_e,4abut_e,4-Aminobutanoate
EX_taur_e,Taurine exchange,,taur_e,taur_e,Taurine C2H7NO3S
EX_phpyr_e,Exchange of Phenylpyruvate,,phpyr_e,phpyr_e,Phenylpyruvate
EX_tym_e,Tyramine exchange,,tym_e,tym_e,Tyramine
EX_2hyoxplac_e,2-Hydroxyphenylacetate,,2hyoxplac_e,2hyoxplac_e,2-Hydroxyphenylacetate
EX_lanost_e,Lanosterol exchange,,lanost_e,lanost_e,Lanosterol C30H50O
EX_3mox4hoxm_e,Exchange of 3-Methoxy-4-Hydroxymandelate,,3mox4hoxm_e,3mox4hoxm_e,3-Methoxy-4-hydroxymandelate
EX_glx_e,Glyoxylate exchange,,glx_e,glx_e,Glyoxylate
EX_CE4970_e,Exchange of 2-Methylbutyrylglycine,,CE4970_e,CE4970_e,2-methylbutyrylglycine
EX_CE2026_e,Exchange of 3-Methyl-Crotonyl-Glycine,,CE2026_e,CE2026_e,3-methylcrotonoylglycine
EX_CE4968_e,Exchange of Isovalerylglycine,,CE4968_e,CE4968_e,Isovalerylglycine
EX_actyr_e,Exchange of N-Acetyl-Tyrosine,,actyr_e,actyr_e,N-Acetyl-Tyrosine
EX_sucaceto_e,Exchange of Succinylacetone,,sucaceto_e,sucaceto_e,Succinylacetone
EX_vanillac_e,Exchange of Vanil-Lactate,,vanillac_e,vanillac_e,Vanil-Lactate
EX_nacvanala_e,Exchange of Acetyl-Vanilalanine,,nacvanala_e,nacvanala_e,N-Acetylvanilalanine
EX_2h3mv_e,Exchange of 2-Hydroxy-3-Methyl-Valerate,,2h3mv_e,2h3mv_e,2-Hydroxy-3-Methyl-Valerate
EX_2hiv_e,Exchange of 2-Hydroxy-Isovalerate,,2hiv_e,2hiv_e,2-Hydroxy-Isovalerate
EX_2m3hbu_e,Exchange of 2-Methyl-3-Hydroxy-Butyrate,,2m3hbu_e,2m3hbu_e,2-Methyl-3-Hydroxy-Butyrate
EX_2m3hvac_e,Exchange of 2-Methyl-3-Hydroxy-Valerate,,2m3hvac_e,2m3hvac_e,2-Methyl-3-Hydroxy-Valerate
EX_3h3mglt_e,Exchange of 3-Hydroxy-3-Methyl-Glutarate,,3h3mglt_e,3h3mglt_e,3-Hydroxy-3-Methyl-Glutarate
EX_3mglutac_e,Exchange of 3-Methyl-Glutaconate,,3mglutac_e,3mglutac_e,3-Methyl-Glutaconate
EX_3mglutr_e,Exchange of 3-Methyl-Glutarate,,3mglutr_e,3mglutr_e,3-Methyl-Glutarate
EX_ppiogly_e,Exchange of Propionyl-Glycine,,ppiogly_e,ppiogly_e,Propionyl-Glycine
EX_mvlac_e,Exchange of Mevalonate-Lactone,,mvlac_e,mvlac_e,Mevalonate-Lactone
EX_tiggly_e,Exchange of Tiglylglycine,,tiggly_e,tiggly_e,Tiglyl Glycine
EX_3ohglutac_e,Excahnge of 3-Hydroxy-Glutarate,,3ohglutac_e,3ohglutac_e,3-Hydroxy-Glutarate
EX_glutcon_e,Exchange of Glutaconate,,glutcon_e,glutcon_e,Glutaconate
EX_3hivac_e,Exchange of 3-Hydroxy-Isovalerate,,3hivac_e,3hivac_e,3-Hydroxyisovaleric Acid
EX_3hadpac_e,Exchange of 3-Hydroxy-Adipate,,3hadpac_e,3hadpac_e,3-Hydroxy-Adipate
EX_3ohsebac_e,Exchange of 3-Hydroxy-Sebacic Acid,,3ohsebac_e,3ohsebac_e,3-Hydroxy-Sebacic Acid
EX_3ohsubac_e,Exchange of 3-Hydoxy-Suberic Acid,,3ohsubac_e,3ohsubac_e,3-Hydoxy-Suberic Acid
EX_5ohhexa_e,Exchange of 5-Hydroxy-Hexanoate,,5ohhexa_e,5ohhexa_e,5-Hydroxyhexanoic Acid
EX_7ohocata_e,Exchange of 7-Hydroxy-Octanoate,,7ohocata_e,7ohocata_e,7-Hydroxy-Octanoate
EX_ethmalac_e,Exchange of Ethylmalonic Acid,,ethmalac_e,ethmalac_e,Ethylmalonic Acid
EX_hexgly_e,Exchange of Hexanoyl-Glycine,,hexgly_e,hexgly_e,Hexanoyl-Glycine
EX_methsucc_e,Exchange of Methyl-Succinate,,methsucc_e,methsucc_e,Methyl-Succinate
EX_subgly_e,Exchange of Suberyl-Glycine,,subgly_e,subgly_e,Suberyl-Glycine
EX_4ohbut_e,Exchange of 4-Hydroxy-Butyrate,,4ohbut_e,4ohbut_e,4-Hydroxy-Butyrate
EX_thexdd_e,"Exchange of 7Z, 10Z-Hexadecadienoic Acid",,thexdd_e,thexdd_e,"7Z,10Z-Hexadecadienoic Acid"
